observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,-2.220446049250313e-16,0.1,-2.220446049250313e-15
cohesive_ev_atom,exact,eV/atom,3.36,3.360000000000003,0.0672,4.625929269271486e-14
C11_GPa,exact,GPa,113.99999999999996,113.99999999999986,5.699999999999998,-1.7451926843230535e-14
C12_GPa,exact,GPa,62.000000000000014,62.000000000000206,3.100000000000001,6.188598021136355e-14
C44_GPa,exact,GPa,32.0,32.000000000000064,1.6,3.9968028886505635e-14
perfect_Haa,fit,eV/L0^2,19.66091286328976,27.91635928700533,1.9660912863289761,4.198913082581167
perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.762392405373351,0.43935930351233066,0.8394026649755342
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.08279415897680172,0.007624909750742465,0.8583788770404468
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.14221044321599502,0.03173805605024358,4.480754681095287
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.0723008118479685,0.006670794504308616,0.8384108971232644
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,-0.04072245476456138,0.03173805605024358,-1.2830796788593526
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.025334001367579715,0.03173805605024358,-0.7982215838132756
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.061207688628311496,0.005670265774764736,0.794500832873405
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.4378043395949396,0.04710312483934004,-0.705407739121164
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.657321867395616,0.07060534019484034,-0.6901961582269738
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.8156337707606076,0.07719163228888834,0.5663495715197793
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.10374800538296047,0.0117221996542065,-1.1494422170389664
direct_half_energy,fit,eV/cell,0.26732847628894163,0.2468786387284607,0.026732847628894163,-0.7649704155863201
oblique_energy,fit,eV/cell,0.13339289745734875,0.11305565368532774,0.013339289745734876,-1.5246121914792103
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.22122144036307395,0.02485368365449082,-1.099048195895847
opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7822551678124037,0.07719163228888834,0.13393737918155924
saddle_Haa,fit,eV/L0^2,12.717337762538286,22.030096915047054,1.2717337762538286,7.322884180949843
