model,path,fraction,energy_J_m2,traction_MPa,Haa,Hxx
source_Al99_target_only,opening,1.0,0.0,-0.2726757163300154,19.660912863289713,4.3935930351233
source_Al99_target_only,opening,1.025,0.008907259589704099,2992.7893630899275,17.625872664816765,3.8901228414012077
source_Al99_target_only,opening,1.05,0.03440469143206087,5682.25740355467,15.809726324288011,3.4676440200992227
source_Al99_target_only,opening,1.075,0.07474286287818127,8062.648606513989,13.705399360738726,3.0221404712257285
source_Al99_target_only,opening,1.1,0.12790959585852854,10052.335279707442,10.87495144593413,2.4364603609908384
source_Al99_target_only,opening,1.125,0.19128427300528744,11553.430647723415,7.9051062552873415,1.686373459211836
source_Al99_target_only,opening,1.15,0.26202437489653546,12554.650194900283,4.364659136186859,0.758150915250943
source_Al99_target_only,opening,1.175,0.33686447270315106,12945.45700962511,0.6661603150420149,-0.1480409964873134
source_Al99_target_only,opening,1.2,0.4126141876413525,12928.465594755622,-0.8832002219470236,-0.6390504202621812
source_Al99_target_only,opening,1.225,0.48757587786629764,12688.453704817177,-1.9966688667165533,-0.7834679817905648
source_Al99_target_only,opening,1.25,0.5606482584978166,12288.764100398075,-2.95492360280387,-0.8581035430183257
source_Al99_target_only,opening,1.275,0.6310068822609657,11764.928586036127,-3.5731069457621603,-0.873088420479024
source_Al99_target_only,opening,1.3,0.6979997592960416,11137.821303977431,-4.198665451601017,-0.9110201932204358
source_Al99_target_only,opening,1.325,0.7610203467254659,10406.579859639045,-4.940080180276616,-1.0072598359795788
source_Al99_target_only,opening,1.35,0.8193601399713599,9529.869755313648,-5.810948980294347,-1.1924550468233308
source_Al99_target_only,opening,1.375,0.8722696373530495,8566.80075845925,-6.022401603462874,-1.3496027725051296
source_Al99_target_only,opening,1.4,0.9195258960506157,7604.612181660581,-5.941082605292661,-1.5001963079357028
source_Al99_target_only,opening,1.425,0.9611982665851001,6671.700596002014,-5.022200268895145,-1.5366162176040277
source_Al99_target_only,opening,1.45,0.9981365062171758,6010.055772862507,-3.3983464097012726,-1.4488239522606985
