model,case,fraction,normal_MPa,shear1_MPa,shear2_MPa,delta_a_angstrom,delta_x_angstrom,delta_y_angstrom,linear_delta_a_angstrom,linear_delta_x_angstrom,linear_delta_y_angstrom,local_root_verified,minimum_H,force_residual,dynamic_hold,actual_yield_inferred
source_Al99_target_only,normal_xx50MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4.39354662111037,4.0024300145742074e-15,False,False
source_Al99_target_only,normal_xx50MPa,0.5,8.333333333333336,-10.206207261596575,-5.892556509887896,0.00015434322038009764,-0.0008443383835536972,-0.00048747899303178377,0.00015409875477442027,-0.0008445580071949588,-0.0004876057928002634,True,4.3870101381416085,1.3138361926179343e-15,False,False
source_Al99_target_only,normal_xx50MPa,1.0,16.66666666666667,-20.41241452319315,-11.785113019775793,0.00030917778874867206,-0.0016882410306178226,-0.000974706413484825,0.00030819750954884053,-0.0016891160143899177,-0.0009752115856005268,True,4.380491284207618,1.6267369395972509e-15,False,False
source_Al99_target_only,normal_xx50MPa,0.5,8.333333333333336,-10.206207261596575,-5.892556509887896,0.00015434322038009764,-0.0008443383835530899,-0.00048747899303162883,0.00015409875477442027,-0.0008445580071949588,-0.0004876057928002634,True,4.3870101381416164,2.2661993809292014e-15,False,False
source_Al99_target_only,normal_xx50MPa,0.0,0.0,0.0,0.0,6.358874457669288e-16,1.0266260258207355e-16,-2.733582517511036e-16,0.0,0.0,0.0,True,4.393546621110354,4.747838632583785e-15,False,False
source_Al99_target_only,normal_xx50MPa,-0.5,-8.333333333333336,10.206207261596575,5.892556509887896,-0.00015385549425421695,0.0008447761714362434,0.000487731749982705,-0.00015409875477442027,0.0008445580071949588,0.0004876057928002634,True,4.389864551642659,1.1180292802670522e-15,False,False
source_Al99_target_only,normal_xx50MPa,-1.0,-16.66666666666667,20.41241452319315,11.785113019775793,-0.00030722199202982395,0.0016899800659436698,0.000975710445997026,-0.00030819750954884053,0.0016891160143899177,0.0009752115856005268,True,4.386248603336,2.6272387043668743e-15,False,False
source_Al99_target_only,normal_xx50MPa,-0.5,-8.333333333333336,10.206207261596575,5.892556509887896,-0.00015385549425389898,0.0008447761714356845,0.00048773174998305936,-0.00015409875477442027,0.0008445580071949588,0.0004876057928002634,True,4.389864551642657,3.0257914229725458e-15,False,False
source_Al99_target_only,normal_xx50MPa,0.0,0.0,0.0,0.0,3.179437228834644e-16,-1.4147686238098757e-16,-2.4318808319967275e-16,0.0,0.0,0.0,True,4.3935466211103655,2.1708478997810273e-15,False,False
source_Al99_target_only,normal_yx50MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4.39354662111037,4.0024300145742074e-15,False,False
source_Al99_target_only,normal_yx50MPa,0.5,8.333333333333336,10.206207261596575,-5.892556509887896,0.00015434322038009764,0.0008443383835538526,-0.00048747899303183234,0.00015409875477442027,0.0008445580071949588,-0.0004876057928002634,True,4.387010138141606,1.3123183095764546e-15,False,False
source_Al99_target_only,normal_yx50MPa,1.0,16.66666666666667,20.41241452319315,-11.785113019775793,0.00030917778874867206,0.0016882410306189948,-0.0009747064134843638,0.00030819750954884053,0.0016891160143899177,-0.0009752115856005268,True,4.380491284207613,1.5681900222830336e-15,False,False
source_Al99_target_only,normal_yx50MPa,0.5,8.333333333333336,10.206207261596575,-5.892556509887896,0.00015434322038009764,0.0008443383835532765,-0.0004874789930316679,0.00015409875477442027,0.0008445580071949588,-0.0004876057928002634,True,4.387010138141618,2.7432483368228233e-15,False,False
source_Al99_target_only,normal_yx50MPa,0.0,0.0,0.0,0.0,6.358874457669288e-16,-1.6947105018853892e-16,-6.813259430838438e-16,0.0,0.0,0.0,True,4.393546621110359,2.1213778048371387e-15,False,False
source_Al99_target_only,normal_yx50MPa,-0.5,-8.333333333333336,-10.206207261596575,5.892556509887896,-0.0001538554942545349,-0.0008447761714352939,0.00048773174998325175,-0.00015409875477442027,-0.0008445580071949588,0.0004876057928002634,True,4.389864551642661,4.822531263215524e-16,False,False
source_Al99_target_only,normal_yx50MPa,-1.0,-16.66666666666667,-20.41241452319315,11.785113019775793,-0.00030722199203045983,-0.0016899800659434482,0.0009757104459973201,-0.00030819750954884053,-0.0016891160143899177,0.0009752115856005268,True,4.386248603335997,1.1874182193061245e-15,False,False
source_Al99_target_only,normal_yx50MPa,-0.5,-8.333333333333336,-10.206207261596575,5.892556509887896,-0.00015385549425421695,-0.0008447761714357042,0.00048773174998253607,-0.00015409875477442027,-0.0008445580071949588,0.0004876057928002634,True,4.389864551642667,9.590852417806772e-16,False,False
source_Al99_target_only,normal_yx50MPa,0.0,0.0,0.0,0.0,6.358874457669288e-16,1.7410747056322353e-16,-7.160334620407469e-16,0.0,0.0,0.0,True,4.393546621110359,2.1213778048371387e-15,False,False
source_Al99_target_only,normal_zx50MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4.39354662111037,4.0024300145742074e-15,False,False
source_Al99_target_only,normal_zx50MPa,0.5,8.333333333333336,0.0,11.785113019775793,0.0001543432203797797,2.5812601107155536e-17,0.0009749579860627761,0.00015409875477442005,4.715410737579543e-21,0.0009752115856005263,True,4.387010138141616,3.1008182133085427e-15,False,False
source_Al99_target_only,normal_zx50MPa,1.0,16.66666666666667,0.0,23.570226039551585,0.0003091777887483541,4.8552802656768616e-17,0.0019494128269680953,0.0003081975095488401,9.430821475159086e-21,0.0019504231712010526,True,4.380491284207614,9.341485918135106e-16,False,False
source_Al99_target_only,normal_zx50MPa,0.5,8.333333333333336,0.0,11.785113019775793,0.00015434322038009764,7.120040473570887e-17,0.0009749579860627702,0.00015409875477442005,4.715410737579543e-21,0.0009752115856005263,True,4.3870101381416164,1.6681534625861971e-15,False,False
source_Al99_target_only,normal_zx50MPa,0.0,0.0,0.0,0.0,0.0,9.037740576226309e-17,-2.6377802551098503e-16,0.0,0.0,0.0,True,4.393546621110372,4.0024300145742074e-15,False,False
source_Al99_target_only,normal_zx50MPa,-0.5,-8.333333333333336,0.0,-11.785113019775793,-0.0001538554942545349,1.127974058060533e-16,-0.0009754634999668173,-0.00015409875477442005,-4.715410737579543e-21,-0.0009752115856005263,True,4.389864551642662,1.8257964584655895e-15,False,False
source_Al99_target_only,normal_zx50MPa,-1.0,-16.66666666666667,0.0,-23.570226039551585,-0.00030722199203045983,1.125969581555841e-16,-0.0019514208919955164,-0.0003081975095488401,-9.430821475159086e-21,-0.0019504231712010526,True,4.386248603336007,1.7464328594396505e-15,False,False
source_Al99_target_only,normal_zx50MPa,-0.5,-8.333333333333336,0.0,-11.785113019775793,-0.00015385549425421695,2.7101852793391125e-16,-0.0009754634999677287,-0.00015409875477442005,-4.715410737579543e-21,-0.0009752115856005263,True,4.389864551642655,4.2975605712980425e-15,False,False
source_Al99_target_only,normal_zx50MPa,0.0,0.0,0.0,0.0,3.179437228834644e-16,1.0815089411855215e-16,-1.0304458343123438e-16,0.0,0.0,0.0,True,4.393546621110362,2.1708478997810273e-15,False,False
source_Al99_target_only,shear_xy10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4.39354662111037,4.0024300145742074e-15,False,False
source_Al99_target_only,shear_xy10MPa,0.5,3.333333333333334,1.0054596118081233e-16,-2.3570226039551585,6.165169756734863e-05,2.5957044775983387e-17,-0.00019509029079420315,6.163950190976811e-05,9.258957534088408e-21,-0.00019504231712010536,True,4.391953090821461,1.6696008724864653e-14,False,False
source_Al99_target_only,shear_xy10MPa,1.0,6.666666666666668,2.0109192236162466e-16,-4.714045207910317,0.00012332812884870208,2.601290218109733e-17,-0.0003902767346937707,0.00012327900381953622,1.8517915068176817e-20,-0.0003900846342402107,True,4.390357018037641,6.491443667322461e-15,False,False
source_Al99_target_only,shear_xy10MPa,0.5,3.333333333333334,1.0054596118081233e-16,-2.3570226039551585,6.165169756893836e-05,2.9232151132473916e-17,-0.00019509029080337924,6.163950190976811e-05,9.258957534088408e-21,-0.00019504231712010536,True,4.391953090821401,2.1052495684237282e-15,False,False
source_Al99_target_only,shear_xy10MPa,0.0,0.0,0.0,0.0,3.179437228834644e-16,3.247034320289145e-17,3.2919237600615644e-16,0.0,0.0,0.0,True,4.393546621110368,2.329814909786558e-15,False,False
source_Al99_target_only,shear_xy10MPa,-0.5,-3.333333333333334,-1.0054596118081233e-16,2.3570226039551585,-6.162738387766812e-05,2.911996118803708e-17,0.00019499445075101365,-6.163950190976811e-05,-9.258957534088408e-21,0.00019504231712010536,True,4.393090859624119,8.848173929654202e-16,False,False
source_Al99_target_only,shear_xy10MPa,-1.0,-6.666666666666668,-2.0109192236162466e-16,4.714045207910317,-0.00012323053723210296,-2.920328445691378e-17,0.00038989302198021375,-0.00012327900381953622,-1.8517915068176817e-20,0.0003900846342402107,True,4.392636333100888,5.04045589988511e-16,False,False
source_Al99_target_only,shear_xy10MPa,-0.5,-3.333333333333334,-1.0054596118081233e-16,2.3570226039551585,-6.162738387957578e-05,-3.2411916552177576e-17,0.00019499445076045783,-6.163950190976811e-05,-9.258957534088408e-21,0.00019504231712010536,True,4.393090859624093,1.6225898662874938e-14,False,False
source_Al99_target_only,shear_xy10MPa,0.0,0.0,0.0,0.0,-1.589718614417322e-15,-2.935540279003759e-20,1.0226066622128668e-14,0.0,0.0,0.0,True,4.393546621110327,1.664405989591557e-14,False,False
source_Al99_target_only,shear_xz10MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4.39354662111037,4.0024300145742074e-15,False,False
source_Al99_target_only,shear_xz10MPa,0.5,3.333333333333334,-2.041241452319315,1.1785113019775795,6.165169756766658e-05,-0.0001689531478610059,9.754514539767681e-05,6.163950190976806e-05,-0.00016891160143899179,9.752115856005266e-05,True,4.391953090821448,1.0575253780314986e-14,False,False
source_Al99_target_only,shear_xz10MPa,1.0,6.666666666666668,-4.08248290463863,2.357022603955159,0.0001233281288461585,-0.0003379895667434643,0.00019513836734293485,0.00012327900381953611,-0.00033782320287798357,0.00019504231712010533,True,4.3903570180377045,1.2433847354498262e-14,False,False
source_Al99_target_only,shear_xz10MPa,0.5,3.333333333333334,-2.041241452319315,1.1785113019775795,6.165169756893836e-05,-0.00016895314786683854,9.754514540052237e-05,6.163950190976806e-05,-0.00016891160143899179,9.752115856005266e-05,True,4.391953090821402,2.2598839032744733e-15,False,False
